channel,leaflets,online_video,ooh,programmatic_display,search_brand,search_nonbrand,social_prospecting,social_retargeting,tv_linear
leaflets,1,0.3535506364001113,0.2712717660297749,-0.017013482936521693,0.38262864210903863,0.7618820459353589,0.10203319413188383,0.6993441792646397,0.2847567450054748
online_video,0.3535506364001113,1,0.698957603950454,-0.022354511324825813,0.7045650014732565,0.4512356467532517,0.22850366045544093,0.41733978085488044,0.7315054239177897
ooh,0.2712717660297749,0.698957603950454,1,-0.08621029134457883,0.591775864418123,0.3490921939559738,0.361419214330418,0.2535318867968075,0.8887842954193841
programmatic_display,-0.017013482936521693,-0.022354511324825813,-0.08621029134457883,1,-0.02978070163758959,-0.0525766076521096,0.06799249373726306,-0.009222024142006654,-0.0012835089598486262
search_brand,0.38262864210903863,0.7045650014732565,0.591775864418123,-0.02978070163758959,1,0.4392887320973905,0.16606901426746135,0.39076247654261265,0.582528489126559
search_nonbrand,0.7618820459353589,0.4512356467532517,0.3490921939559738,-0.0525766076521096,0.4392887320973905,1,0.14021453869965794,0.8123754183379216,0.3626191928117316
social_prospecting,0.10203319413188383,0.22850366045544093,0.361419214330418,0.06799249373726306,0.16606901426746135,0.14021453869965794,1,0.11594649508485871,0.3608763981854218
social_retargeting,0.6993441792646397,0.41733978085488044,0.2535318867968075,-0.009222024142006654,0.39076247654261265,0.8123754183379216,0.11594649508485871,1,0.2911009108765591
tv_linear,0.2847567450054748,0.7315054239177897,0.8887842954193841,-0.0012835089598486262,0.582528489126559,0.3626191928117316,0.3608763981854218,0.2911009108765591,1
