channel,contribution_mean,contribution_lower,contribution_upper,roas_mean,roas_lower,roas_upper
social_retargeting,59069529.157691434,5475213.548691633,136481143.27563986,5.989828634085857,0.5552031878252692,13.839600072362446
search_brand,53933747.082638495,5679591.55341381,120826260.91320644,5.870796993001206,0.618234979338017,13.152181845588348
ooh,203932141.0576277,77199939.16872525,332468063.66447544,4.878045961690553,1.8466184366609486,7.952618390307005
search_nonbrand,113154461.90915945,23029257.878714517,212422743.3917169,4.631180334308666,0.9425403506160143,8.694027748948916
programmatic_display,58241951.82057403,3655829.653634852,142301375.0750629,3.404602033002972,0.21370583715020652,8.318394829421473
social_prospecting,62719690.22697707,6467001.609258571,147361092.57906637,2.3295905399314125,0.24020312785553286,5.473416816693608
online_video,65759960.555175506,6362773.597549508,153342837.33612233,2.3109670989418514,0.22360354717085568,5.388845263142131
leaflets,95961133.47764196,25533382.339900892,169851861.74987373,2.3043160494835133,0.6131334696785443,4.078655147983216
tv_linear,187094693.5888555,58068251.75907426,315737183.1749502,1.4738421862231548,0.457433813226269,2.487225967750419
