term,estimate,std.error,statistic,p.value,conf.low,conf.high,week_rel
week_rel::-12:treated,0.012273434993015019,0.015236369493104687,0.8055353999238097,0.42248106705186106,-0.017966540810625993,0.04251341079665603,-12
week_rel::-11:treated,0.030986007178377583,0.014172112772379184,2.1864070429052704,0.031190989053111066,0.002858286364231688,0.05911372799252348,-11
week_rel::-10:treated,0.017413570909200652,0.014168876897286659,1.229001496409031,0.22204439507622084,-0.010707727588622065,0.045534869407023365,-10
week_rel::-9:treated,0.003924884745309492,0.013725345228633477,0.2859589088601935,0.7755193953085721,-0.02331612616600578,0.031165895656624764,-9
week_rel::-8:treated,0.02328263966355421,0.013553354756069955,1.7178506784917538,0.08901462228446012,-0.0036170177690907426,0.05018229709619916,-8
week_rel::-7:treated,-0.006304351073768636,0.012697886487432688,-0.49648822109160906,0.6206732706896958,-0.031506140798749964,0.01889743865121269,-7
week_rel::-6:treated,-0.0011735053384393547,0.01341554204864795,-0.08747356865521684,0.9304754223761499,-0.02779964269533649,0.02545263201845778,-6
week_rel::-5:treated,0.009019604235788643,0.013115328505558256,0.6877147020729331,0.4932736616471436,-0.017010692341382968,0.03504990081296025,-5
week_rel::-4:treated,0.023879368630712675,0.013059248204291555,1.8285408361306275,0.07054154071240976,-0.0020396240722562672,0.049798361333681616,-4
week_rel::-3:treated,0.018881007194822295,0.013881103517363757,1.360194970897249,0.17692100383734005,-0.008669140803549826,0.04643115519319442,-3
week_rel::-2:treated,0.016076722290430157,0.014396713045358396,1.1166939453317373,0.266883704392281,-0.012496767893082652,0.04465021247394296,-2
week_rel::0:treated,-0.05836551959643679,0.04930436768078903,-1.183779903117556,0.23939307166851576,-0.15622104130425732,0.03949000211138373,0
week_rel::1:treated,-0.0638483116923675,0.054126862825976285,-1.1796048830253976,0.24104242559048586,-0.17127515132928106,0.043578527944546044,1
week_rel::2:treated,-0.0740710718949924,0.014639989259516763,-5.05950315823096,1.991410275595879e-6,-0.10312739802135103,-0.045014745768633777,2
week_rel::3:treated,-0.033584177072469606,0.032745411464244326,-1.025614752440694,0.3076240954496696,-0.09857475444112346,0.031406400296184245,3
week_rel::4:treated,-0.035921185707932735,0.031645194030560105,-1.1351229407297443,0.2591209303562291,-0.09872813602629671,0.02688576461043124,4
week_rel::5:treated,-0.05127954951262852,0.016136007891368313,-3.1779576372207683,0.0019902268675961563,-0.08330505850433183,-0.019254040520925206,5
