channel,total_spend_dkk,total_contribution_dkk,roas,coefficient
social_retargeting,9861639.249835799,331443008.05076844,33.60932190419429,3958710.999571139
search_nonbrand,24433179.82478239,553033814.8541541,22.634541178026122,6112254.117577147
leaflets,41644085.02,591542740.6498995,14.204724161085661,9453677.083531348
ooh,41806113.07461979,334590981.46633977,8.003398471154872,3050823.895334778
social_prospecting,26923053.279922597,130316630.26517136,4.840336231936693,1392071.2794711755
online_video,28455602.239117015,115400201.22367151,4.055447509209083,1293809.0673676205
search_brand,9186784.5450856,13362413.041932674,1.4545255716354855,188479.24773074352
tv_linear,126943505.44294128,145842110.29619274,1.1488741372574276,1222866.9053382152
programmatic_display,17106831.064540807,0,0,0
