channel,true_roas,true_decay,true_shape,true_ec_dkk,known_endogenous,collinear_with,ridge_roas,bayes_roas,bayes_roas_lower,bayes_roas_upper,ridge_abs_error,bayes_abs_error,bayes_true_covered_90pct_ci,bayes_improves_on_ridge
social_retargeting,0.6,0.15,1.9,45000,TRUE,NA,33.60932190419429,5.989828634085857,0.5552031878252692,13.839600072362446,33.00932190419429,5.389828634085857,TRUE,TRUE
search_nonbrand,2.2,0.1,1.6,260000,FALSE,NA,22.63454117802612,4.631180334308666,0.9425403506160144,8.694027748948916,20.43454117802612,2.4311803343086655,TRUE,TRUE
leaflets,3.4,0.2,1.4,500000,FALSE,NA,14.20472416108566,2.3043160494835133,0.6131334696785443,4.078655147983216,10.804724161085659,1.0956839505164866,TRUE,TRUE
ooh,1,0.4,1.5,300000,FALSE,tv_linear,8.003398471154872,4.878045961690553,1.8466184366609488,7.952618390307005,7.003398471154872,3.878045961690553,FALSE,TRUE
social_prospecting,2.6,0.35,1.4,160000,FALSE,NA,4.840336231936693,2.3295905399314125,0.24020312785553288,5.473416816693608,2.2403362319366926,0.27040946006858757,TRUE,TRUE
online_video,1.9,0.45,1.5,220000,FALSE,NA,4.055447509209083,2.3109670989418514,0.22360354717085568,5.388845263142131,2.155447509209083,0.41096709894185146,TRUE,TRUE
programmatic_display,1.1,0.3,1.5,180000,FALSE,NA,0,3.404602033002972,0.21370583715020652,8.318394829421473,1.1,2.304602033002972,TRUE,FALSE
search_brand,0.5,0.05,2.2,30000,TRUE,NA,1.4545255716354857,5.870796993001206,0.618234979338017,13.152181845588348,0.9545255716354857,5.370796993001206,FALSE,FALSE
tv_linear,1.4,0.55,1.6,900000,FALSE,ooh,1.1488741372574276,1.4738421862231548,0.457433813226269,2.487225967750419,0.2511258627425723,0.07384218622315486,TRUE,TRUE
