channel,true_roas,true_decay,true_shape,true_ec_dkk,known_endogenous,collinear_with,estimated_decay,estimated_shape,estimated_ec_dkk,decay_error,shape_error
tv_linear,1.4,0.55,1.6,900000,FALSE,ooh,0.16971621842844725,1.474478723921714,437903.2441783489,-0.3802837815715528,-0.125521276078286
online_video,1.9,0.45,1.5,220000,FALSE,NA,0.551444963761734,0.8136297215789049,353273.9129890569,0.10144496376173401,-0.6863702784210951
social_prospecting,2.6,0.35,1.4,160000,FALSE,NA,0.2624918558048797,1.707443887472229,182883.29861667095,-0.08750814419512026,0.30744388747222917
social_retargeting,0.6,0.15,1.9,45000,TRUE,NA,0.28336141264046866,2.2304323283326637,80205.84984694679,0.13336141264046866,0.3304323283326638
search_brand,0.5,0.05,2.2,30000,TRUE,NA,0.7063137718856486,2.1573981218596012,205965.8124240966,0.6563137718856485,-0.04260187814039895
search_nonbrand,2.2,0.1,1.6,260000,FALSE,NA,0.17381902135777205,1.9021690667027527,141990.66454100347,0.07381902135777205,0.30216906670275256
programmatic_display,1.1,0.3,1.5,180000,FALSE,NA,0.3751423033256082,1.4454191788209578,143565.84961591123,0.07514230332560823,-0.05458082117904217
ooh,1,0.4,1.5,300000,FALSE,tv_linear,0.43608760548667563,1.6925614218117613,272816.64764584124,0.03608760548667561,0.19256142181176128
leaflets,3.4,0.2,1.4,500000,FALSE,NA,0.003081154274027815,1.7236691194873248,324513.83109108463,-0.1969188457259722,0.3236691194873249
