channel,contribution_mean,contribution_lower,contribution_upper,roas_mean,roas_lower,roas_upper
tv_linear,186021167.8533589,60137496.57941494,318547978.34719884,1.465385465796609,0.47373433063454845,2.5093680628693535
online_video,65297643.83180565,5934756.220523572,155291542.30296424,2.294720149765203,0.20856196156570006,5.457327558841468
social_prospecting,66807509.41233654,26907851.925067157,107121102.51678741,2.4814239572952554,0.9994353777523899,3.9787873018351574
social_retargeting,59701124.270061694,4270759.197126481,138004942.55665147,6.0538742857639765,0.43306787937893704,13.994117921008854
search_brand,52975903.30841178,4899124.623347079,124012810.21788011,5.766533769070575,0.5332795821327746,13.499044155141291
search_nonbrand,110040378.8153249,20100729.58521668,207139077.65391186,4.503727292331871,0.8226816865166549,8.477778133643183
programmatic_display,58100118.98159812,3854145.1898890124,143852618.39476985,3.3963110270042107,0.22529860588136158,8.409074588510368
ooh,205241307.38885692,82599625.03348567,329576872.9015242,4.909361150665249,1.9757786351975242,7.8834612611141806
leaflets,97520605.00748512,27194412.285558194,169873952.80549762,2.3417636612894683,0.6530198051535481,4.079185620812989
