model,rmse,mape_pct,r2,bias_pct,fold
fold_1,3908011.4822905436,14.03133334988208,0.5345451175606382,-5.725764775454908,1
fold_2,1904816.496916158,10.946682609235154,0.4303545192036893,0.4642792712513419,2
fold_3,5554666.555384043,16.801410234855208,-2.6851893295476477,16.801410234855208,3
fold_4,1257136.132032299,6.940411800981463,0.29939446766836,0.1335772160178928,4
fold_5,5118211.890160293,14.332975472301229,0.5834313618523548,2.079117384954022,5
fold_6,2021532.521375985,10.114436523199114,-0.06842270222417368,0.00835673696571662,6
fold_7,3150278.7613489223,9.01166807320583,0.27886323733847795,9.01166807320583,7
